File Name,Object Type,Title,Item Sequence,Issue Sequence,Visibility,Parent ARK,Issue ARK,Item ARK,Bucketeer State,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPvillareno/images/ihc_villareno_19560912_001.tif,Page,Page 1,1,1,open,ark:/21198/z1ns3pdh,ark:/21198/z1j12xp3,ark:/21198/z1tb42dh,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb42dh,1956,1956-09-12 (vol. 07 | no. 202)
Masters/othermasters/DEPvillareno/images/ihc_villareno_19560912_002.tif,Page,Page 2,2,2,open,ark:/21198/z1ns3pdh,ark:/21198/z1j12xp3,ark:/21198/z1pk39nb,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk39nb,1956,1956-09-12 (vol. 07 | no. 202)
Masters/othermasters/DEPvillareno/images/ihc_villareno_19560912_003.tif,Page,Page 3,3,3,open,ark:/21198/z1ns3pdh,ark:/21198/z1j12xp3,ark:/21198/z1jt2jw5,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt2jw5,1956,1956-09-12 (vol. 07 | no. 202)
Masters/othermasters/DEPvillareno/images/ihc_villareno_19560912_004.tif,Page,Page 4,4,4,open,ark:/21198/z1ns3pdh,ark:/21198/z1j12xp3,ark:/21198/z1f50hpt,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f50hpt,1956,1956-09-12 (vol. 07 | no. 202)
Masters/othermasters/DEPvillareno/images/ihc_villareno_19560912_005.tif,Page,Page 5,5,5,open,ark:/21198/z1ns3pdh,ark:/21198/z1j12xp3,ark:/21198/z19c9rx3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c9rx3,1956,1956-09-12 (vol. 07 | no. 202)
Masters/othermasters/DEPvillareno/images/ihc_villareno_19560912_006.tif,Page,Page 6,6,6,open,ark:/21198/z1ns3pdh,ark:/21198/z1j12xp3,ark:/21198/z15m9165,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m9165,1956,1956-09-12 (vol. 07 | no. 202)
Masters/othermasters/DEPvillareno/images/ihc_villareno_19560912_007.tif,Page,Page 7,7,7,open,ark:/21198/z1ns3pdh,ark:/21198/z1j12xp3,ark:/21198/z11v88gf,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v88gf,1956,1956-09-12 (vol. 07 | no. 202)
Masters/othermasters/DEPvillareno/images/ihc_villareno_19560912_008.tif,Page,Page 8,8,8,open,ark:/21198/z1ns3pdh,ark:/21198/z1j12xp3,ark:/21198/z1x37s0g,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x37s0g,1956,1956-09-12 (vol. 07 | no. 202)
Masters/othermasters/DEPvillareno/images/ihc_villareno_19560912_009.tif,Page,Page 9,9,9,open,ark:/21198/z1ns3pdh,ark:/21198/z1j12xp3,ark:/21198/z1sb717p,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb717p,1956,1956-09-12 (vol. 07 | no. 202)
Masters/othermasters/DEPvillareno/images/ihc_villareno_19580227_001.tif,Page,Page 1,10,1,open,ark:/21198/z1ns3pdh,ark:/21198/z1d825x9,ark:/21198/z1nk68jd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk68jd,1958,1958-02-27 (vol. 09 | no. 48)
Masters/othermasters/DEPvillareno/images/ihc_villareno_19580227_002.tif,Page,Page 2,11,2,open,ark:/21198/z1ns3pdh,ark:/21198/z1d825x9,ark:/21198/z1hx476z,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx476z,1958,1958-02-27 (vol. 09 | no. 48)
Masters/othermasters/DEPvillareno/images/ihc_villareno_19580227_003.tif,Page,Page 3,12,3,open,ark:/21198/z1ns3pdh,ark:/21198/z1d825x9,ark:/21198/z1d53gf3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d53gf3,1958,1958-02-27 (vol. 09 | no. 48)
Masters/othermasters/DEPvillareno/images/ihc_villareno_19580227_004.tif,Page,Page 4,13,4,open,ark:/21198/z1ns3pdh,ark:/21198/z1d825x9,ark:/21198/z18d2qqc,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d2qqc,1958,1958-02-27 (vol. 09 | no. 48)
